Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2021-01-21,593,1750.0,1689.0,1750.0,51393.0,88762897.0,1659.0,91.00 
2021-01-20,363,1680.0,1635.0,1659.0,30434.0,50321191.0,1665.0,-6.00 
2021-01-19,579,1740.0,1620.0,1665.0,44390.0,74656748.0,1680.0,-15.00 
2021-01-18,613,1680.0,1591.0,1680.0,50622.0,83258342.0,1565.0,115.00 
2021-01-17,507,1574.0,1490.0,1565.0,44509.0,68054077.0,1480.0,85.00 
2021-01-13,272,1490.0,1470.0,1480.0,22536.0,33388886.0,1475.0,5.00 
2021-01-12,235,1541.0,1450.0,1475.0,25985.0,38201238.0,1468.0,7.00 
2021-01-11,237,1479.0,1450.0,1468.0,20163.0,29466000.0,1472.0,-4.00 
2021-01-10,337,1515.0,1466.0,1472.0,27171.0,40014863.0,1458.0,14.00 
2021-01-07,442,1473.0,1440.0,1458.0,41416.0,60624127.0,1420.0,38.00 
2021-01-06,196,1434.0,1410.0,1420.0,19017.0,26953762.0,1414.0,6.00 
2021-01-05,117,1426.0,1384.0,1414.0,8674.0,12249006.0,1410.0,4.00 
2021-01-04,216,1439.0,1395.0,1410.0,20050.0,28427584.0,1411.0,-1.00 
2021-01-03,226,1422.0,1395.0,1411.0,24107.0,33932591.0,1391.0,20.00 
2020-12-31,562,1480.0,1390.0,1391.0,42418.0,59965330.0,1410.0,-19.00 
2020-12-30,383,1425.0,1356.0,1410.0,36958.0,51137918.0,1350.0,60.00 
2020-12-29,302,1395.0,1350.0,1350.0,33279.0,45451718.0,1380.0,-30.00 
2020-12-28,264,1415.0,1370.0,1380.0,22475.0,31246660.0,1393.0,-13.00 
2020-12-27,359,1423.0,1390.0,1393.0,34791.0,48778157.0,1425.0,-32.00 
2020-12-24,268,1450.0,1410.0,1425.0,17611.0,25119737.0,1438.0,-13.00 
2020-12-23,383,1514.0,1405.0,1438.0,34169.0,49879474.0,1442.0,-4.00 
2020-12-22,375,1448.0,1388.0,1442.0,41306.0,58870561.0,1377.0,65.00 
2020-12-21,677,1399.0,1239.0,1377.0,61449.0,81848342.0,1338.0,39.00 
2020-12-20,935,1500.0,1338.0,1338.0,81057.0,112110622.0,1468.0,-130.00 
