Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2021-01-21,2626,3000.0,2882.0,2908.0,181040.0,533312421.0,2885.0,23.00 
2021-01-20,2926,2936.0,2777.0,2885.0,216711.0,614089506.0,2689.0,196.00 
2021-01-19,4095,2701.0,2525.0,2689.0,351960.0,919706801.0,2465.0,224.00 
2021-01-18,791,2500.0,2465.0,2465.0,65563.0,162232347.0,2463.0,2.00 
2021-01-17,874,2480.0,2438.0,2463.0,60655.0,149093851.0,2436.0,27.00 
2021-01-13,781,2460.0,2417.0,2436.0,61323.0,149679822.0,2414.0,22.00 
2021-01-12,797,2420.0,2261.0,2414.0,64682.0,155581233.0,2380.0,34.00 
2021-01-11,734,2399.0,2374.0,2380.0,52570.0,125364426.0,2374.0,6.00 
2021-01-10,1048,2399.0,2368.0,2374.0,82757.0,196848977.0,2383.0,-9.00 
2021-01-07,969,2410.0,2380.0,2383.0,96447.0,230330801.0,2384.0,-1.00 
2021-01-06,845,2507.0,2376.0,2384.0,89413.0,213386743.0,2388.0,-4.00 
2021-01-05,930,2417.0,2365.0,2388.0,108317.0,259072324.0,2400.0,-12.00 
2021-01-04,1463,2500.0,2368.0,2400.0,167886.0,407102599.0,2416.0,-16.00 
2021-01-03,1892,2449.0,2317.0,2416.0,211374.0,509575228.0,2295.0,121.00 
2020-12-31,1546,2314.0,2250.0,2295.0,161443.0,370863573.0,2247.0,48.00 
2020-12-30,1209,2249.0,2180.0,2247.0,124099.0,275453229.0,2200.0,47.00 
2020-12-29,937,2265.0,2200.0,2200.0,85258.0,189835137.0,2224.0,-24.00 
2020-12-28,1501,2250.0,2179.0,2224.0,156981.0,349180052.0,2224.0,0.00 
2020-12-27,3001,2360.0,2220.0,2224.0,302598.0,683972764.0,2340.0,-116.00 
2020-12-24,3029,2550.0,2315.0,2340.0,254324.0,598193541.0,2443.0,-103.00 
2020-12-23,5369,2586.0,2436.0,2443.0,567422.0,1434499493.0,2351.0,92.00 
2020-12-22,3017,2351.0,2180.0,2351.0,375766.0,863682775.0,2138.0,213.00 
2020-12-21,2799,2150.0,2053.0,2138.0,348225.0,728869910.0,2103.0,35.00 
2020-12-20,3465,2215.0,2085.0,2103.0,501106.0,1071913946.0,2195.0,-92.00 
2020-12-17,2083,2270.0,2172.0,2195.0,250312.0,554033418.0,2242.0,-47.00 
2020-12-16,1342,2280.0,2211.0,2242.0,142271.0,319176930.0,2265.0,-23.00 
2020-12-15,2332,2394.0,2225.0,2265.0,229082.0,523826756.0,2238.0,27.00 
2020-12-14,3310,2238.0,2099.0,2238.0,339264.0,743999668.0,2035.0,203.00 
2020-12-13,2832,2045.0,1901.0,2035.0,336101.0,670172421.0,1900.0,135.00 
2020-12-10,1648,1921.0,1804.0,1900.0,198321.0,373200486.0,1834.0,66.00 
2020-12-09,1131,1914.0,1829.0,1834.0,109201.0,202654856.0,1877.0,-43.00 
2020-12-08,1427,1958.0,1843.0,1877.0,164222.0,312862087.0,1895.0,-18.00 
2020-12-07,2119,1900.0,1750.0,1895.0,259623.0,475972666.0,1764.0,131.00 
2020-12-06,2013,1938.0,1764.0,1764.0,240092.0,449027621.0,1955.0,-191.00 
2020-12-03,1624,2060.0,1944.0,1955.0,151621.0,300338300.0,1997.0,-42.00 
2020-12-02,1460,2000.0,1920.0,1997.0,156275.0,309834288.0,1910.0,87.00 
2020-12-01,1753,1965.0,1855.0,1910.0,176894.0,339035168.0,1855.0,55.00 
2020-11-30,1782,1864.0,1690.0,1855.0,215134.0,384886772.0,1695.0,160.00 
2020-11-29,1178,1700.0,1661.0,1695.0,157029.0,263912625.0,1665.0,30.00 
2020-11-26,1205,1710.0,1653.0,1665.0,130107.0,218787001.0,1683.0,-18.00 
2020-11-25,949,1699.0,1650.0,1683.0,107477.0,180437582.0,1652.0,31.00 
2020-11-24,854,1670.0,1580.0,1652.0,111900.0,183314268.0,1607.0,45.00 
2020-11-23,1207,1716.0,1600.0,1607.0,143497.0,232121516.0,1635.0,-28.00 
2020-11-22,1559,1734.0,1606.0,1635.0,178589.0,297333398.0,1672.0,-37.00 
2020-11-19,1437,1698.0,1620.0,1672.0,156025.0,261299651.0,1620.0,52.00 
2020-11-18,1370,1627.0,1519.0,1620.0,163906.0,259491025.0,1519.0,101.00 
2020-11-12,926,1541.0,1515.0,1519.0,116773.0,177946585.0,1512.0,7.00 
2020-11-11,909,1545.0,1487.0,1512.0,100379.0,151574202.0,1496.0,16.00 
2020-11-10,1307,1531.0,1425.0,1496.0,160848.0,235844168.0,1421.0,75.00 
2020-11-09,587,1441.0,1420.0,1421.0,72225.0,103298266.0,1422.0,-1.00 
2020-11-08,387,1440.0,1403.0,1422.0,47943.0,67866419.0,1409.0,13.00 
2020-11-05,252,1412.0,1403.0,1409.0,30893.0,43520569.0,1408.0,1.00 
