Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2021-01-21,294,1794.0,1700.0,1737.0,50210.0,87986696.0,1715.0,22.00 
2021-01-20,135,1725.0,1662.0,1715.0,22615.0,38154723.0,1670.0,45.00 
2021-01-19,202,1683.0,1580.0,1670.0,33025.0,53770035.0,1620.0,50.00 
2021-01-18,127,1663.0,1600.0,1620.0,12347.0,19925628.0,1603.0,17.00 
2021-01-17,86,1650.0,1580.0,1603.0,10712.0,17135262.0,1600.0,3.00 
2021-01-13,239,1600.0,1500.0,1600.0,19305.0,30038856.0,1495.0,105.00 
2021-01-12,110,1500.0,1436.0,1495.0,7775.0,11533951.0,1461.0,34.00 
2021-01-11,51,1484.0,1460.0,1461.0,3971.0,5834349.0,1457.0,4.00 
2021-01-10,88,1468.0,1435.0,1457.0,9833.0,14312128.0,1441.0,16.00 
2021-01-07,96,1462.0,1430.0,1441.0,12288.0,17842311.0,1444.0,-3.00 
2021-01-06,74,1449.0,1421.0,1444.0,5734.0,8268888.0,1438.0,6.00 
2021-01-05,59,1458.0,1438.0,1438.0,4318.0,6250228.0,1458.0,-20.00 
2021-01-04,72,1488.0,1440.0,1458.0,9324.0,13659046.0,1460.0,-2.00 
2021-01-03,91,1497.0,1442.0,1460.0,10771.0,15682822.0,1426.0,34.00 
2020-12-31,255,1485.0,1425.0,1426.0,20889.0,30347897.0,1415.0,11.00 
2020-12-30,424,1775.0,1725.0,1769.0,36134.0,63421531.0,1716.0,53.00 
2020-12-29,129,1740.0,1706.0,1716.0,11472.0,19704350.0,1700.0,16.00 
2020-12-28,156,1754.0,1691.0,1700.0,21288.0,36239615.0,1720.0,-20.00 
2020-12-27,146,1748.0,1680.0,1720.0,17509.0,29992309.0,1714.0,6.00 
2020-12-24,114,1730.0,1691.0,1714.0,14072.0,23954849.0,1731.0,-17.00 
2020-12-23,91,1800.0,1730.0,1731.0,7819.0,13683264.0,1743.0,-12.00 
2020-12-22,194,1795.0,1700.0,1743.0,23354.0,40134301.0,1695.0,48.00 
2020-12-21,297,1716.0,1588.0,1695.0,37226.0,61684380.0,1668.0,27.00 
2020-12-20,481,1776.0,1630.0,1668.0,55163.0,93552046.0,1776.0,-108.00 
2020-12-17,221,1776.0,1735.0,1776.0,37103.0,65049567.0,1750.0,26.00 
2020-12-16,159,1768.0,1736.0,1750.0,26624.0,46682527.0,1771.0,-21.00 
2020-12-15,173,1810.0,1760.0,1771.0,23504.0,41723327.0,1783.0,-12.00 
2020-12-14,212,1790.0,1735.0,1783.0,31347.0,55145436.0,1735.0,48.00 
2020-12-13,155,1740.0,1705.0,1735.0,14105.0,24286039.0,1712.0,23.00 
2020-12-10,242,1733.0,1680.0,1712.0,18948.0,32298213.0,1728.0,-16.00 
2020-12-09,312,1825.0,1696.0,1728.0,26908.0,46792491.0,1757.0,-29.00 
2020-12-08,695,1850.0,1750.0,1757.0,61243.0,109479608.0,1695.0,62.00 
2020-12-07,187,1741.0,1588.0,1695.0,28491.0,47865539.0,1642.0,53.00 
