Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2021-01-21,148,1178.0,1133.0,1151.0,21476.0,24666463.0,1116.0,35.00 
2021-01-20,106,1140.0,1064.0,1116.0,9813.0,10866558.0,1148.0,-32.00 
2021-01-19,96,1200.0,1129.0,1148.0,8735.0,10146138.0,1160.0,-12.00 
2021-01-18,190,1160.0,1075.0,1160.0,17869.0,20245221.0,1055.0,105.00 
2021-01-17,102,1074.0,1034.0,1055.0,15162.0,15934750.0,1028.0,27.00 
2021-01-13,49,1041.0,1020.0,1028.0,7280.0,7489781.0,1030.0,-2.00 
2021-01-12,12,1035.0,1016.0,1030.0,1597.0,1638974.0,1030.0,0.00 
2021-01-11,37,1050.0,1025.0,1030.0,5793.0,6007347.0,1048.0,-18.00 
2021-01-10,48,1067.0,1032.0,1048.0,5467.0,5684922.0,1049.0,-1.00 
2021-01-07,195,1058.0,1000.0,1049.0,23958.0,24934949.0,988.0,61.00 
2021-01-06,84,1001.0,950.0,988.0,10273.0,10146620.0,945.0,43.00 
2021-01-05,19,955.0,938.0,945.0,1157.0,1094315.0,946.0,-1.00 
2021-01-04,19,965.0,940.0,946.0,1802.0,1719435.0,958.0,-12.00 
2021-01-03,30,958.0,925.0,958.0,3132.0,2937023.0,950.0,8.00 
2020-12-31,23,960.0,941.0,950.0,2672.0,2525450.0,944.0,6.00 
2020-12-30,16,950.0,935.0,944.0,2399.0,2260430.0,935.0,9.00 
2020-12-29,24,964.0,920.0,935.0,1384.0,1284472.0,919.0,16.00 
2020-12-28,20,975.0,919.0,919.0,2715.0,2542797.0,956.0,-37.00 
2020-12-27,32,956.0,910.0,956.0,2289.0,2112030.0,935.0,21.00 
2020-12-24,26,969.0,935.0,935.0,2414.0,2278132.0,950.0,-15.00 
2020-12-23,12,1020.0,950.0,950.0,742.0,717004.0,1000.0,-50.00 
2020-12-22,46,1010.0,958.0,1000.0,5063.0,5009906.0,977.0,23.00 
2020-12-21,56,996.0,909.0,977.0,3931.0,3712883.0,962.0,15.00 
2020-12-20,89,1029.0,962.0,962.0,7737.0,7702781.0,1037.0,-75.00 
2020-12-17,156,1065.0,1000.0,1037.0,39062.0,40587282.0,1002.0,35.00 
2020-12-16,171,1002.0,900.0,1002.0,24318.0,23890981.0,911.0,91.00 
2020-12-15,32,930.0,907.0,911.0,3065.0,2815820.0,930.0,-19.00 
2020-12-14,62,953.0,889.0,930.0,5757.0,5272416.0,872.0,58.00 
