Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Prabhu Bank Debenture 2084 ,10,1050.00,1029.00,1050.00,395.00,412120.00,1026.00,24.00 
11% NIC Asia Debenture 082/83,3,1150.00,1140.00,1150.00,175.00,200250.00,1145.00,5.00 
ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,6,256.00,256.00,256.00,20450.00,5235200.00,256.00,0.00 
Agriculture Development Bank Limited,501,495.00,470.00,487.00,143816.00,69516294.00,484.00,3.00 
Ajod Insurance Limited,418,529.00,519.00,526.00,18169.00,9546292.00,526.00,0.00 
Ankhu Khola Jalvidhyut Company Ltd,99,123.00,119.00,120.00,9579.00,1154481.00,124.00,-4.00 
Api Power Company Ltd.,549,268.00,251.00,255.00,279744.00,72107086.00,263.00,-8.00 
Arun Kabeli Power Ltd.,444,294.00,264.00,268.00,278038.00,74835261.00,280.00,-12.00 
Arun Valley Hydropower Development Co. Ltd.,320,250.00,240.00,241.00,196350.00,47520530.00,249.00,-8.00 
Asha Laghubitta Bittiya Sanstha Ltd,66,867.00,840.00,867.00,3297.00,2789544.00,858.00,9.00 
Asian Life Insurance Co. Limited,236,810.00,770.00,806.00,81984.00,65265735.00,782.00,24.00 
Asian Life Insurance Co. Ltd Promoter Share,1,384.00,384.00,384.00,178410.00,19625100.00,384.00,0.00 
Bank of Kathmandu Ltd.,419,263.00,253.00,255.00,103991.00,26576595.00,262.00,-7.00 
Barun Hydropower Co. Ltd.,160,213.00,199.00,208.00,44084.00,9096347.00,213.00,-5.00 
Best Finance Company Ltd.,63,145.00,140.00,142.00,16977.00,2398061.00,144.00,-2.00 
Bishal Bazar Company Limited,26,3027.00,2889.00,3027.00,905.00,2731691.00,2752.00,275.00 
Bottlers Nepal (Terai) Limited,18,8446.00,7832.00,8446.00,370.00,3109930.00,7679.00,767.00 
Butwal Power Company Limited,180,413.00,404.00,410.00,35148.00,14406614.00,414.00,-4.00 
Central Finance Co. Ltd.,25,170.00,164.00,166.00,5186.00,859273.00,169.00,-3.00 
Century Commercial Bank Ltd.,332,191.00,186.00,188.00,136592.00,25812798.00,194.00,-6.00 
Chhimek Laghubitta Bikas Bank Limited,283,1187.00,1150.00,1187.00,22820.00,26835908.00,1205.00,-18.00 
Chhyangdi Hydropower Ltd.,78,165.00,156.00,160.00,21662.00,3476428.00,168.00,-8.00 
Chilime Hydropower Company Limited,88,519.00,515.00,517.00,16681.00,8632760.00,519.00,-2.00 
Citizen Bank International Limited,343,242.00,236.00,240.00,105328.00,25275194.00,238.00,2.00 
Citizen Investment Trust,607,4794.00,4466.00,4775.00,21891.00,102864584.00,4460.00,315.00 
Citizens Mutual Fund -1,10,10.39,10.22,10.22,16100.00,165470.00,10.59,-0.37 
Civil Bank Ltd,253,173.00,168.00,171.00,132453.00,22656432.00,175.00,-4.00 
Civil Laghubitta Bittiya Sanstha Ltd.,16,714.00,710.00,714.00,533.00,379681.00,714.00,0.00 
Corporate Development Bank Limited,29,235.00,223.00,225.00,2592.00,586520.00,235.00,-10.00 
Deprosc Laghubitta Bittiya Sanstha Limited,231,1059.00,1028.00,1053.00,32384.00,33894676.00,1031.00,22.00 
Dibyashwori Hydropower Ltd.,77,123.00,116.00,117.00,16544.00,1968626.00,124.00,-7.00 
Everest Bank Limited,260,661.00,654.00,658.00,43537.00,28569433.00,661.00,-3.00 
Everest Insurance Co. Ltd.,153,560.00,544.00,555.00,27466.00,15244125.00,545.00,10.00 
Excel Development Bank Ltd.,24,334.00,322.00,328.00,2240.00,734984.00,328.00,0.00 
First Micro Finance Development Bank Ltd.,127,620.00,609.00,620.00,30830.00,18920986.00,613.00,7.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,152,1770.00,1660.00,1755.00,9056.00,15723365.00,1650.00,105.00 
Ganapati Microfinance Bittiya Sanstha Limited,26,850.00,820.00,845.00,387.00,322810.00,834.00,11.00 
Garima Bikas Bank Limited,191,262.00,256.00,258.00,43311.00,11186109.00,263.00,-5.00 
General Insurance Company Nepal Ltd,753,534.00,523.00,531.00,13542.00,7158412.00,534.00,-3.00 
Ghalemdi Hydro Limited,103,138.00,126.00,130.00,16396.00,2135238.00,138.00,-8.00 
Global IME Bank Limited,1011,301.00,297.00,300.00,261887.00,78324948.00,295.00,5.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,16,1385.00,1370.00,1373.00,797.00,1095585.00,1389.00,-16.00 
Global IME Samunnat Scheme-1,25,11.50,11.13,11.35,205541.00,2327406.25,10.92,0.43 
Goodwill Finance Co. Ltd.,46,213.00,206.00,212.00,22316.00,4712326.00,210.00,2.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,93,555.00,538.00,544.00,25324.00,13772766.00,545.00,-1.00 
Green Development Bank Ltd.,29,154.00,150.00,150.00,4490.00,682380.00,155.00,-5.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,115,205.00,190.00,202.00,40851.00,8065631.00,195.00,7.00 
Gurans Laghubitta Bittiya Sanstha Limited,24,765.00,735.00,745.00,814.00,606560.00,766.00,-21.00 
Gurans Life Insurance Company Ltd.,302,619.00,591.00,615.00,51793.00,31454625.00,597.00,18.00 
Gurkhas Finance Ltd.,137,187.00,175.00,187.00,46707.00,8583792.00,170.00,17.00 
Himal Dolakha Hydropower Company Limited,308,152.00,146.00,148.00,194776.00,28861143.00,152.00,-4.00 
Himalaya Urja Bikas Company Limited,68,200.00,194.00,197.00,5949.00,1163325.00,203.00,-6.00 
Himalayan Bank Limited,124,590.00,569.00,587.00,29829.00,17366115.00,599.00,-12.00 
Himalayan Distillery Limited,277,2662.00,2541.00,2662.00,33535.00,89151975.00,2420.00,242.00 
Himalayan General Insurance Co. Ltd,413,584.00,550.00,578.00,87020.00,49447407.00,553.00,25.00 
Himalayan Power Partner Ltd.,106,226.00,210.00,220.00,10244.00,2238324.00,223.00,-3.00 
Hydorelectricity Investment and Development Company Ltd,322,240.00,229.00,231.00,115394.00,26812545.00,235.00,-4.00 
ICFC Finance Limited,93,306.00,288.00,293.00,35289.00,10410848.00,290.00,3.00 
IME General Insurance Ltd.,67,560.00,540.00,560.00,11289.00,6267047.00,551.00,9.00 
Infinity Laghubitta Bittiya Sanstha Limited,63,890.00,873.00,880.00,2198.00,1931630.00,877.00,3.00 
Janaki Finance Ltd.,64,230.00,223.00,224.00,24797.00,5611874.00,225.00,-1.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,34,1604.00,1515.00,1550.00,1780.00,2787518.00,1544.00,6.00 
Joshi Hydropower Development Company Ltd,76,127.00,122.00,123.00,4140.00,511860.00,129.00,-6.00 
Jyoti Bikas Bank Limited,259,214.00,207.00,208.00,69681.00,14489488.00,211.00,-3.00 
Kalika Microcredit Development Bank Ltd.,53,773.00,743.00,745.00,2625.00,1964072.00,759.00,-14.00 
Kalika power Company Ltd,128,225.00,213.00,213.00,14300.00,3081500.00,217.00,-4.00 
Kamana Sewa Bikas Bank Limited,285,236.00,213.00,220.00,107632.00,24196565.00,224.00,-4.00 
Karnali Development Bank Limited,37,144.00,139.00,140.00,8650.00,1214277.00,143.00,-3.00 
Khanikhola Hydropower Co. Ltd.,40,123.00,118.00,121.00,1622.00,193972.00,122.00,-1.00 
Kisan Lagubitta Bittiya Sanstha Limited,21,1071.00,1034.00,1060.00,1170.00,1228688.00,1050.00,10.00 
Kumari Bank Limited,455,245.00,238.00,238.00,250835.00,60299348.00,240.00,-2.00 
Laxmi Bank Limited,160,268.00,262.00,265.00,53403.00,14126701.00,273.00,-8.00 
Laxmi Equity Fund,6,10.17,10.10,10.10,8450.00,85695.00,10.17,-0.07 
Laxmi Laghubitta Bittiya Sanstha Ltd.,24,1239.00,1215.00,1230.00,2219.00,2711513.00,1215.00,15.00 
Laxmi Unnati Kosh,14,9.90,9.72,9.76,5250.00,51216.50,10.10,-0.34 
Liberty Energy Company Limited,235,208.00,205.00,206.00,17345.00,3579103.00,209.00,-3.00 
Life Insurance Co. Nepal,243,1675.00,1575.00,1665.00,36108.00,59257003.00,1570.00,95.00 
Lumbini Bikas Bank Ltd.,63,221.00,217.00,218.00,17443.00,3812963.00,218.00,0.00 
Lumbini General Insurance Co. Ltd.,233,565.00,539.00,562.00,28241.00,15783462.00,549.00,13.00 
Machhapuchhre Bank Limited,155,236.00,230.00,235.00,47736.00,11147909.00,236.00,-1.00 
Mahalaxmi Bikas Bank Ltd.,55,234.00,230.00,231.00,12175.00,2824417.00,231.00,0.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,15,728.00,712.00,725.00,859.00,619879.00,722.00,3.00 
Manjushree Finance Ltd.,72,338.00,324.00,336.00,25746.00,8603371.00,329.00,7.00 
Mega  Bank Nepal Ltd.,334,242.00,238.00,240.00,134540.00,32222740.00,238.00,2.00 
Mero Microfinance Bittiya Sanstha Ltd.,89,775.00,760.00,770.00,13472.00,10361777.00,770.00,0.00 
Mirmire Microfinance Development Bank Ltd.,62,910.00,885.00,900.00,5788.00,5183152.00,902.00,-2.00 
Miteri Development Bank Limited,56,380.00,372.00,373.00,14978.00,5612032.00,379.00,-6.00 
Mithila LaghuBitta Bittiya Sanstha Limited,30,935.00,912.00,935.00,4348.00,4033286.00,920.00,15.00 
